"Row.names","Condition","Phenotype","nTVC","nATM","migration.perturbed","orientation.perturbed","division.perturbed","TVC.contiguous","ATM.contiguous"
"Eph.slide2_image19_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image20.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image23_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image23_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image25_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image27_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image28_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image28_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image3.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image4_left.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image4_right.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image5.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image6.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image7.2020_02_06","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.slide2_image9.2020_02_06","Eph","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.image1_right.2020_07_14","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.image1.2020_07_23","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.image10_left.2020_07_14","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.image10_left.2020_07_23","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.image10_right.2020_07_23","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.image10.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image11.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image11.2020_07_14","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.image15_left.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image15_right.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image17_left.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image19_left.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image19_right.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image2.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
