"embedding1","embedding2","embedding3","embedding4","embedding5","embedding6","embedding7","embedding8","embedding9","embedding10","embedding11","embedding12","embedding13","embedding14"
0.25732064,0.09876408,0.6327003,-0.33574936,-0.122013286,0.5430668,0.49672425,-0.0029957085,-0.12358662,0.18966496,-0.05927758,0.072022185,-0.0058068316,0.100648925
0.21409965,0.37641683,-0.32149184,-0.6074929,0.12236925,-0.024430782,0.18451992,-0.538491,-0.009215582,0.073097266,0.09691336,-0.22857536,-0.11073665,0.46353567
0.24504101,0.35670993,-0.37473363,-0.14545777,-0.0010683924,-0.11509424,-0.82967937,-0.6054861,-0.15260233,-0.41484803,0.71470124,0.46428835,0.08315543,0.05181759
0.60006887,0.2508163,0.60608846,0.30310342,0.52013206,0.40548697,0.36248887,-0.17336793,-0.3394353,0.48438734,-0.3656654,-0.5774752,0.2739274,-0.07759374
0.40389752,0.24555777,0.43161732,0.17095949,-0.24710123,0.17738657,0.38936913,-0.041234005,0.22943336,0.12383078,0.3065647,0.18174495,0.02296974,-0.1806521
0.3957961,0.43084294,0.4380973,0.40931675,-0.3935241,-0.104544476,0.11824579,-0.30748698,0.37512204,0.37075385,-0.33651286,-0.21948227,0.09350033,-0.57001156
-0.023584172,0.31094134,0.45060104,0.44565272,-0.28457692,-0.17718813,0.16850893,-0.1462458,-0.21102406,0.2202718,0.5154428,0.35830402,-0.104746476,-0.429356
-0.039943222,-0.39413154,-0.3582202,-0.288302,-0.18203719,0.33579817,0.13960089,0.27310547,0.5257756,-0.20727871,-0.06796214,-0.5917543,-0.39142275,-0.26892287
0.098919265,-0.6610525,0.11345447,-0.38430983,-0.26160595,-0.65127194,0.14156982,0.055171687,-0.28827333,0.48968306,-0.07643019,0.14394845,0.08171336,0.15108085
0.5163019,0.5882156,-0.13900764,-0.13973491,-0.30983344,0.34431353,0.015030003,-0.4558656,-0.27934036,0.16032626,0.54971457,0.5140193,-0.08250479,0.0753654
0.55049294,0.4598339,0.27611536,-0.34542316,-0.0873746,-0.3877037,-0.4515293,0.044997085,0.24547797,0.5495459,0.49630457,0.21177158,-0.46503955,0.5349746
0.1346785,0.18413703,0.031946503,0.41402417,0.08708788,-0.117728986,0.08069732,0.33533648,0.06819008,0.13111942,0.37991342,-0.3034899,0.5116829,-0.16569544
-0.02812572,0.4433566,-0.26329842,-0.284578,-0.34370944,0.31202918,-0.62405246,-0.71000427,-0.1440632,-0.23444094,0.28775248,0.27807066,0.26392522,0.23152226
0.19700283,0.0925284,-0.32327807,0.0065965997,-0.25128585,-0.16220854,-0.36425808,0.009605889,0.061512783,0.12135642,0.19786532,0.4808227,-0.14611396,0.12614617
0.2634696,0.0725824,0.46078175,-0.35333148,-0.16474248,0.14024533,-0.2725207,-0.0407818,0.61141545,-0.14048234,0.4436365,0.5018518,-0.5005257,0.6168912
-0.44365442,-0.39440897,-0.15346271,0.4910912,0.11169395,0.06994856,0.45817104,-0.0038891844,0.16834778,-0.19369625,0.19655803,0.0051299483,-0.44877142,0.20843011
-0.6751962,-0.6829285,-0.3832896,-0.005414075,0.19631764,0.45061168,0.07849076,0.48565167,-0.09785126,-0.16377978,0.055334963,0.15231511,-0.5224404,-0.4829746
0.6875704,-0.19914842,-0.3613307,0.026844248,-0.44199175,0.43149105,-0.30933014,0.32579374,0.5613484,0.005028139,0.4623546,0.07227806,-0.3797708,-0.0095343385
0.00066427124,-0.15032484,-0.046860408,-0.1598624,-0.5570591,0.10907457,-0.3934551,0.100654,0.31232136,0.10163054,0.70852196,0.44203335,-0.18106173,0.17826602
-0.48812044,-0.24619609,-0.4787847,-0.15544562,-0.40119395,0.6742489,0.15575926,0.5631264,0.45172724,-0.48784053,-0.14495885,-0.5528473,-0.25250515,-0.48341435
-0.6156638,-0.5031579,-0.23207575,0.5914675,0.15309608,0.20257811,0.34519142,0.4725245,-0.2213603,0.49215835,0.42451623,-0.2575571,-0.45629793,0.15653272
-0.3956957,-0.38677412,-0.20181388,0.022888422,-0.19527441,0.40841973,0.085647024,0.24932191,0.42815688,-0.1846079,0.03894079,-0.17053388,-0.25638726,-0.14346619
0.087253354,-0.11753504,0.18426114,-0.43400127,-0.47368827,0.6514876,0.120485716,-0.3820151,0.5176505,-0.027136037,-0.04947354,0.63331836,-0.4619529,0.50463426
-0.539753,-0.50805014,-0.13271725,0.5315306,0.64136034,0.04587277,0.44408342,0.63966143,-0.2838563,-0.21237117,0.41000214,-0.3549671,-0.12138259,0.6193104
-0.5045635,-0.14512655,-0.26446047,0.44314888,0.14472882,-0.07124428,0.3460442,0.1845896,0.34723404,-0.088261545,0.3662395,-0.045228682,-0.49769935,0.429216
-0.16423278,0.057904135,-0.12341753,0.06030383,-0.29556453,-0.019080153,-0.3335605,-0.27206886,0.2791802,-0.0031702078,0.22768806,0.28791687,-0.21686411,0.2373643
-0.16374354,0.06969946,-0.0716798,0.16503969,-0.6871922,-0.28984195,-0.080134675,-0.04199747,0.24419853,0.66777134,-0.023893517,0.24685365,-0.47276494,0.2107646
-0.2234031,-0.48147509,-0.66135925,0.69091463,0.4229674,-0.32856327,0.7364109,0.36007118,0.2565227,0.3184172,-0.109780386,-0.109391004,-0.48569787,-0.17851026
-0.57622045,-0.5869589,-0.28795347,-0.033569064,-0.52336854,0.57159466,0.15962403,0.54300237,0.6199571,-0.38240469,-0.320112,-0.38095653,-0.59912163,-0.36509514
0.14982927,-0.04241571,-0.3291706,-0.080134876,0.08987553,0.08869768,-0.60582477,-0.44722825,0.33342022,-0.51419884,0.62099165,0.44277585,-0.3598612,0.63909775
-0.2984368,-0.12560178,-0.4007532,-0.068504065,0.33260775,-0.011104714,0.41079435,0.46784052,0.14174573,-0.61114806,0.41771147,-0.30428582,-0.6163109,0.44369078
0.31064108,-0.34348917,0.38100266,-0.5089258,-0.4131731,-0.027324356,-0.2771397,-0.45826277,0.43821383,0.013661693,0.10839376,0.609256,-0.6892943,0.17242971
-0.3554369,-0.45854035,-0.7045823,0.5876975,0.3214329,0.06691811,0.22224605,0.421205,-0.15058777,0.13164471,0.20457815,0.027958157,-0.14530392,-0.25063273
0.078635894,-0.39294782,-0.4658574,0.22212705,0.44538006,0.46466786,0.5877905,0.6084799,0.17607178,-0.24487612,0.45061952,-0.29291874,-0.41704693,0.14758265
-0.3989571,-0.24175496,-0.18420927,0.36696628,-0.09794638,0.43797073,0.08518654,0.13781965,0.5074558,-0.30702558,0.3623651,0.24825025,-0.59350604,0.21465415
