"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"ATM.Nucleus.Sphericity.mean",0.268675409584049,0.050258921901281,1,1,1,0.379779979979118,1,1,1,1,1,0.0085798070889476,1,0.583578144511973,1,0.00462558885317012,1,1,1,1,1,1,1,1,1,1,1,0.370698837563396,1,0.22265625,1,0.720426745215492,1,1
"ATM.Nucleus.Sphericity.SD",0.397215137321902,1,1,1,1,1,1,0.0975505912748462,1,1,1,0.0379461934365851,1,1,1,1,0.0459187805225593,1,1,1,0.0255156198509524,1,0.0507326435665721,1,1,1,1,1,1,1,1,0.491063215901321,1,1
"ATM.Nucleus.Volume.frac.min",1,1,1,1,1,1,1,9.42751682216132e-06,1,1,1,1,1,1,1,0.0058925083725672,1,0.0891066921571628,1,1,1,1,0.0710213018778252,1,0.498407532926649,1,1,1,1,1,1,1,1,1
"ATM.Nucleus.Volume.frac.max",1,1,1,0.0110461233314548,1,0.541057609034913,1,0.0229288329576623,1,1,1,1,1,1,1,0.0075766733761422,1,0.0436979085552281,1,1,1,1,0.207796303635853,1,0.63429712690413,1,1,1,1,1,1,0.00265279832627388,1,1
"ATM.Nucleus.Volume.frac.mean",1,0.797116630277959,1,0.0795706678555497,1,0.333160315117191,1,8.25035138366868e-05,1,1,1,1,1,1,1,0.00399628219052373,1,0.0203813344242583,1,1,1,1,0.00568149413518273,1,0.309367523528636,1,1,1,1,1,1,0.907384253553232,1,1
"ATM.Nucleus.Volume.frac.SD",1,1,1,1,1,1,1,0.000443966258442667,1,0.343341930163285,1,1,1,0.150071021402705,0.523169647953689,0.0108895969046813,1,1,1,1,1,1,0.822295704280888,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..oblate..min",1,1,1,0.198381434020121,1,1,1,0.897756400890446,1,0.577649287879467,1,0.711796802334842,1,1,0.173577593639493,1,1,1,1,1,1,1,0.0712169217998024,1,1,1,1,1,1,1,1,0.222046573073385,1,1
"TVC.Cell.Ellipticity..oblate..max",1,0.579777841836504,1,1,1,1,1,1,1,1,1,0.0030834385634448,1,0.790283203125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..oblate..mean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.729119134024813,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..oblate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..prolate..min",1,1,1,1,1,1,1,1,1,1,0.738330245771922,0.0796953026981021,1,0.0574874877929688,1,1,1,1,1,0.0275296568870545,1,1,1,1,1,1,1,1,1,1,1,0.0326902520819204,1,1
"TVC.Cell.Ellipticity..prolate..max",1,1,1,1,1,1,1,0.108452287824684,1,1,1,1,1,1,1,0.638102755333415,1,1,1,1,1,0.386235299336379,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..prolate..mean",1,1,1,1,1,1,1,1,1,1,1,1,1,0.295166015625,1,0.81616651718234,1,1,1,0.0400012731552125,1,0.112751240212051,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Ellipticity..prolate..SD",1,0.595893038655917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.507415771484375,4.12083987206598e-06,1,5.78816980123521e-06,1,0.00351025594830194,1,1,1,1,0.198257521371095,0.0318178302917993,1,0.149612426757812,0.218777544796467,0.000413410910360229,0.506825072894571,0.0556986699812114,1,1,1,0.0157390387266731,1,1,0.253931240178645,0.0457382202148438,0.875,1,1,0.22265625,1,0.00527608782977042,0.0401730537414551,1
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",0.0566339492797851,8.78249655260233e-09,1,6.6356733441353e-09,0.22265625,3.6618588441288e-07,0.21875,0.000478261664381764,1,1,0.0253975905756204,0.959687847484913,0.0171065330505371,1,0.0650997441262007,0.000149980845649109,0.00663617419195362,0.00610068064997904,1,1,1,1,0.00455485168108821,0.875,8.8140368461609e-06,0.008544921875,0.875,0.395115826278925,1,0.609375,1,1.31139131553937e-06,1,0.0069580078125
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",0.007476806640625,3.85183967254462e-09,1,4.60422597825528e-08,0.22265625,6.88191996376432e-07,0.21875,0.013951944846086,1,1,0.0237604388393068,1,0.187526866793633,1,0.0337775275111199,2.06823873002771e-05,0.000745552126318216,0.00147413386730477,1,1,1,0.0807517545911023,0.000131014279893608,0.875,0.000856476835906506,0.0118560791015625,0.875,1,1,0.22265625,1,1.1594092939049e-06,0.349828720092773,0.03387451171875
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",1,7.08754893682465e-06,0.078369140625,0.0308802796644159,0.626953125,0.00970804281922226,0.612484084349018,1.16029116903661e-05,1,1,0.818399995401489,1,0.243497550487519,1,1,0.00172122492738524,1,1,1,1,1,1,1,1,0.447473358362913,1,1,0.020368829369545,1,1,1,0.222046573073385,1,1
"TVC.Cell.Sphericity.min",1,1,1,1,1,0.894541000679191,1,1,1,1,1,0.180241406140113,1,1,1,0.467239912107112,1,0.0265381905483082,1,1,0.0289917282412944,1,0.15798875924325,1,1,0.139251708984375,1,0.975040003657341,0.392467498779297,0.22265625,0.28466796875,1,1,1
"TVC.Cell.Sphericity.max",1,1,1,0.00363493454642595,1,1,0.21875,1,1,1,1,1,1,0.0849074700633252,1,0.173627546608538,1,0.0200578209478408,1,1,0.000393528535823862,0.430342036467179,0.000106027936620137,1,1,1,1,1,1,0.986328125,0.22857666015625,0.00214775898803055,1,1
"TVC.Cell.Sphericity.mean",1,1,1,0.970181238022636,1,1,0.41796875,1,1,1,1,1,1,0.399604797363281,1,0.0833496369642285,1,0.00519318244187161,1,1,0.00159423857223828,1,0.00577882795624464,1,1,0.297607421875,1,1,1,0.41015625,0.03387451171875,0.27529480814701,1,1
"TVC.Cell.Sphericity.SD",1,1,1,1,1,0.472712371643974,1,1,1,1,1,0.0570589239650938,1,1,1,1,1,1,1,1,0.571894808392187,1,0.108214354461255,1,1,1,1,1,1,1,1,1,1,1
"TVC.Cell.Volume.frac.min",1,1,0.0537109375,5.50650875084103e-05,1,1,1,1.7579132480079e-12,1,1,0.071965320241793,4.17422159825103e-06,1,1,0.855703249573708,0.00543945957555033,0.00280312291579321,1,1,0.157387554645539,1,2.96615249394978e-07,0.571305360161431,1,1,1,1,0.00551494583487511,1,1,0.01708984375,0.27529480814701,0.704846382141113,1
"TVC.Cell.Volume.frac.max",1,0.0471951342299163,1,1,1,0.105092301043512,1,8.99934111708289e-12,1,1,1,1,1,1,1,1.94416632522267e-05,1,1,0.184784306329675,1,1,9.35852320646305e-08,0.0247037718492348,0.875,1,0.297607421875,1,1,1,1,1,0.0234345465523802,1,1
"TVC.Cell.Volume.frac.mean",1,0.104160762570909,1,1,1,0.0783490666371297,1,8.65440733228969e-14,1,1,1,0.0759361524711392,1,1,1,0.000218921037407163,1,1,1,1,1,4.2507294660037e-08,1,1,1,0.0209808349609375,1,0.23911695741117,1,1,1,1,1,1
"TVC.Cell.Volume.frac.SD",1,0.932212909575535,1,1,1,1,1,1.22164766048572e-13,1,1,1,9.02139256458645e-05,1,1,1,3.86292203618071e-06,1,1,0.477276229299605,1,1,4.87386272470896e-05,0.207796303635853,1,1,1,1,1,1,1,1,0.00042098240555788,1,1
"TVC.Nucleus.Ellipticity..oblate..min",1,1,1,1,1,1,1,0.477962871290185,1,1,1,1,1,0.344192504882812,1,1,0.557870910677593,1,1,1,1,1,0.552605284005288,1,1,1,1,1,1,1,1,1,1,1
"TVC.Nucleus.Ellipticity..oblate..max",1,1,1,1,1,1,1,1,1,1,1,5.35157681509847e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Nucleus.Ellipticity..oblate..mean",1,1,1,1,1,1,1,1,1,1,1,0.519267885769458,1,1,1,1,1,1,1,1,1,1,0.555827968702042,1,1,1,1,1,1,1,1,1,1,1
"TVC.Nucleus.Ellipticity..oblate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Nucleus.Ellipticity..prolate..min",0.919635772705078,1,0.459228515625,1,1,1,1,0.000981168842523548,1,1,0.0261315666062795,0.00087474992452299,1,1,1,0.00234277653356819,1,1,1,1,1,1,1,1,1,1,1,0.177014773711562,1,1,1,1,1,1
